state,pollster,number.of.observations,start.date,end.date,obama,mccain,other,undecided,mode,population
AZ,Rasmussen,500,6/26/08,6/29/08,40,49,7.7,3.3,Live Phone,Registered Voters
AZ,Rasmussen,500,8/1/08,8/4/08,36,52,8.4,3.6,Live Phone,Registered Voters
AZ,Mason-Dixon,400,8/21/08,8/24/08,41,47,8.4,3.6,Live Phone,Registered Voters
AZ,American Research,600,9/14/08,9/17/08,39,56,3.5,1.5,Live Phone,Registered Voters
AZ,Rasmussen,500,9/27/08,9/30/08,38,59,2.1,0.9,Live Phone,Registered Voters
AZ,Rasmussen,500,10/24/08,10/27/08,46,51,2.1,0.9,Live Phone,Registered Voters
AZ,CNN/Time,807,10/27/08,10/30/08,46,53,0.7,0.3,Live Phone,Registered Voters
AZ,Mason-Dixon,625,10/27/08,10/30/08,44,48,5.6,2.4,Live Phone,Registered Voters
AZ,American Research,600,10/28/08,10/31/08,46,50,2.8,1.2,Live Phone,Registered Voters
CA,SurveyUSA,519,1/20/08,1/23/08,50,44,4.2,1.8,Live Phone,Registered Voters
CA,SurveyUSA,512,2/19/08,2/22/08,61,34,3.5,1.5,Live Phone,Registered Voters
CA,Rasmussen,500,3/9/08,3/12/08,46,39,10.5,4.5,Live Phone,Registered Voters
CA,SurveyUSA,489,3/17/08,3/20/08,54,40,4.2,1.8,Live Phone,Registered Voters
CA,SurveyUSA,503,4/14/08,4/17/08,50,43,4.9,2.1,Live Phone,Registered Voters
CA,SurveyUSA,600,5/18/08,5/21/08,49,41,7,3,Live Phone,Registered Voters
CA,Rasmussen,500,5/19/08,5/22/08,52,38,7,3,Live Phone,Registered Voters
CA,SurveyUSA,503,6/17/08,6/20/08,53,41,4.2,1.8,Live Phone,Registered Voters
CA,Rasmussen,500,6/22/08,6/25/08,58,30,8.4,3.6,Live Phone,Registered Voters
CA,Field,672,7/11/08,7/14/08,54,30,11.2,4.8,Live Phone,Registered Voters
CA,Rasmussen,500,7/23/08,7/26/08,50,38,8.4,3.6,Live Phone,Registered Voters
CA,Rasmussen,500,8/19/08,8/22/08,51,37,8.4,3.6,Live Phone,Registered Voters
CA,Field,830,9/14/08,9/17/08,52,36,8.4,3.6,Live Phone,Registered Voters
CA,American Research,600,9/18/08,9/21/08,53,39,5.6,2.4,Live Phone,Registered Voters
CA,Rasmussen,500,9/20/08,9/23/08,56,39,3.5,1.5,Live Phone,Registered Voters
CA,SurveyUSA,661,9/22/08,9/25/08,53,43,2.8,1.2,Live Phone,Registered Voters
CA,SurveyUSA,670,10/3/08,10/6/08,55,39,4.2,1.8,Live Phone,Registered Voters
CA,Rasmussen,500,10/8/08,10/11/08,56,40,2.8,1.2,Live Phone,Registered Voters
CA,SurveyUSA,615,10/14/08,10/17/08,59,35,4.2,1.8,Live Phone,Registered Voters
CA,Public Policy Inst.,1186,10/20/08,10/23/08,56,33,7.7,3.3,Live Phone,Registered Voters
CA,Rasmussen,500,10/22/08,10/25/08,61,34,3.5,1.5,Live Phone,Registered Voters
CA,Field Poll,966,10/27/08,10/30/08,55,33,8.4,3.6,Live Phone,Registered Voters
CA,SurveyUSA,637,10/29/08,11/1/08,60,36,2.8,1.2,Live Phone,Registered Voters
CO,Rasmussen,500,2/8/08,2/11/08,46,39,10.5,4.5,Live Phone,Registered Voters
CO,Rasmussen,500,3/14/08,3/17/08,46,46,5.6,2.4,Live Phone,Registered Voters
CO,Rasmussen,500,4/13/08,4/16/08,46,43,7.7,3.3,Live Phone,Registered Voters
CO,Rasmussen,500,5/18/08,5/21/08,48,42,7,3,Live Phone,Registered Voters
CO,Rasmussen,500,6/16/08,6/19/08,43,41,11.2,4.8,Live Phone,Registered Voters
CO,Quinnipiac/WSJ/Wash. Post,1351,6/23/08,6/26/08,49,44,4.9,2.1,Live Phone,Registered Voters
CO,Rasmussen,500,7/19/08,7/22/08,49,42,6.3,2.7,Live Phone,Registered Voters
CO,Quinnipiac/WSJ/Wash. Post,1425,7/21/08,7/24/08,44,46,7,3,Live Phone,Registered Voters
CO,Rasmussen,500,8/11/08,8/14/08,45,47,5.6,2.4,Live Phone,Registered Voters
CO,Zogby,717,8/19/08,8/22/08,44,38,12.6,5.4,Live Phone,Registered Voters
CO,Quinnipiac/WSJ/Wash. Post,1060,8/21/08,8/24/08,46,47,4.9,2.1,Live Phone,Registered Voters
CO,Suffolk Univ.,450,8/22/08,8/25/08,44,39,11.9,5.1,Live Phone,Registered Voters
CO,FOX/Rasmussen,500,9/5/08,9/8/08,49,46,3.5,1.5,Live Phone,Registered Voters
CO,Public Policy,1078,9/8/08,9/11/08,47,46,4.9,2.1,Live Phone,Registered Voters
CO,FOX/Rasmussen,500,9/12/08,9/15/08,46,48,4.2,1.8,Live Phone,Registered Voters
CO,American Research,600,9/14/08,9/17/08,44,46,7,3,Live Phone,Registered Voters
CO,Public Policy,1084,9/20/08,9/23/08,51,44,3.5,1.5,Live Phone,Registered Voters
CO,Quinnipiac/WSJ/Wash. Post,1418,9/20/08,9/23/08,49,45,4.2,1.8,Live Phone,Registered Voters
CO,CNN/Time,794,9/21/08,9/24/08,51,47,1.4,0.6,Live Phone,Registered Voters
CO,Rasmussen,700,9/21/08,9/24/08,50,47,2.1,0.9,Live Phone,Registered Voters
CO,American Research,600,9/23/08,9/26/08,45,48,4.9,2.1,Live Phone,Registered Voters
CO,FOX/Rasmussen,500,9/26/08,9/29/08,49,48,2.1,0.9,Live Phone,Registered Voters
CO,Denver Post,625,10/2/08,10/5/08,44,44,8.4,3.6,Live Phone,Registered Voters
CO,FOX/Rasmussen,1000,10/2/08,10/5/08,51,45,2.8,1.2,Live Phone,Registered Voters
CO,Public Policy,1331,10/8/08,10/11/08,52,42,4.2,1.8,Live Phone,Registered Voters
CO,Quinnipiac/WSJ/Wash. Post,1088,10/11/08,10/14/08,52,43,3.5,1.5,Live Phone,Registered Voters
CO,Suffolk Univ.,600,10/11/08,10/14/08,47,43,7,3,Live Phone,Registered Voters
CO,CNN/Time,762,10/12/08,10/15/08,51,47,1.4,0.6,Live Phone,Registered Voters
CO,Rasmussen,700,10/14/08,10/17/08,52,45,2.1,0.9,Live Phone,Registered Voters
CO,FOX/Rasmussen,1000,10/16/08,10/19/08,51,46,2.1,0.9,Live Phone,Registered Voters
CO,FOX/Rasmussen,1000,10/23/08,10/26/08,50,46,2.8,1.2,Live Phone,Registered Voters
CO,AP-GfK Battleground,798,10/26/08,10/29/08,50,41,6.3,2.7,Live Phone,Registered Voters
CO,CNN/Time,774,10/26/08,10/29/08,53,45,1.4,0.6,Live Phone,Registered Voters
CO,Marist,682,10/27/08,10/30/08,51,45,2.8,1.2,Live Phone,Registered Voters
CO,American Research,600,10/28/08,10/31/08,52,45,2.1,0.9,Live Phone,Registered Voters
CO,Public Policy,2023,10/28/08,10/31/08,54,44,1.4,0.6,Live Phone,Registered Voters
CO,FOX/Rasmussen,1000,10/30/08,11/2/08,51,47,1.4,0.6,Live Phone,Registered Voters
CO,Mason-Dixon,625,10/30/08,11/2/08,49,44,4.9,2.1,Live Phone,Registered Voters
CT,SurveyUSA,600,3/3/08,3/6/08,55,34,7.7,3.3,Live Phone,Registered Voters
CT,Rasmussen,500,3/8/08,3/11/08,50,38,8.4,3.6,Live Phone,Registered Voters
CT,Quinnipiac,1697,3/24/08,3/27/08,52,35,9.1,3.9,Live Phone,Registered Voters
CT,Rasmussen,500,5/30/08,6/2/08,47,44,6.3,2.7,Live Phone,Registered Voters
CT,Quinnipiac,2437,6/29/08,7/2/08,56,35,6.3,2.7,Live Phone,Registered Voters
CT,Rasmussen,500,6/29/08,7/2/08,52,35,9.1,3.9,Live Phone,Registered Voters
CT,Rasmussen,500,8/1/08,8/4/08,51,36,9.1,3.9,Live Phone,Registered Voters
CT,Rasmussen,500,9/15/08,9/18/08,53,41,4.2,1.8,Live Phone,Registered Voters
CT,American Research,600,9/17/08,9/20/08,54,39,4.9,2.1,Live Phone,Registered Voters
CT,SurveyUSA,686,9/23/08,9/26/08,54,38,5.6,2.4,Live Phone,Registered Voters
CT,Rasmussen,500,10/13/08,10/16/08,56,39,3.5,1.5,Live Phone,Registered Voters
CT,Hartford Courant,502,10/23/08,10/26/08,56,31,9.1,3.9,Live Phone,Registered Voters
DC,American Research,600,9/14/08,9/17/08,82,13,3.5,1.5,Live Phone,Registered Voters
DE,SurveyUSA,600,3/3/08,3/6/08,50,41,6.3,2.7,Live Phone,Registered Voters
DE,Rasmussen,500,9/11/08,9/14/08,55,43,1.4,0.6,Live Phone,Registered Voters
DE,American Research,600,9/14/08,9/17/08,51,40,6.3,2.7,Live Phone,Registered Voters
DE,SurveyUSA,703,9/21/08,9/24/08,57,37,4.2,1.8,Live Phone,Registered Voters
DE,Fairleigh-Dickinson,601,9/22/08,9/25/08,56,36,5.6,2.4,Live Phone,Registered Voters
DE,Rasmussen,500,10/11/08,10/14/08,56,41,2.1,0.9,Live Phone,Registered Voters
DE,SurveyUSA,657,10/26/08,10/29/08,63,33,2.8,1.2,Live Phone,Registered Voters
FL,Quinnipiac,1009,2/11/08,2/14/08,39,41,14,6,Live Phone,Registered Voters
FL,Rasmussen,500,3/9/08,3/12/08,43,47,7,3,Live Phone,Registered Voters
FL,Quinnipiac,1136,3/30/08,4/2/08,37,46,11.9,5.1,Live Phone,Registered Voters
FL,Quinnipiac,1411,4/28/08,5/1/08,43,44,9.1,3.9,Live Phone,Registered Voters
FL,Quinnipiac,1419,5/19/08,5/22/08,41,45,9.8,4.2,Live Phone,Registered Voters
FL,Quinnipiac,1453,6/15/08,6/18/08,47,43,7,3,Live Phone,Registered Voters
FL,Rasmussen,500,6/16/08,6/19/08,39,47,9.8,4.2,Live Phone,Registered Voters
FL,Rasmussen,500,6/27/08,6/30/08,41,48,7.7,3.3,Live Phone,Registered Voters
FL,Strategic Vision,1200,6/29/08,7/2/08,41,49,7,3,Live Phone,Registered Voters
FL,American Research Group,600,7/18/08,7/21/08,45,47,5.6,2.4,Live Phone,Registered Voters
FL,Rasmussen,500,7/20/08,7/23/08,46,45,6.3,2.7,Live Phone,Registered Voters
FL,Quinnipiac,1248,7/28/08,7/31/08,46,44,7,3,Live Phone,Registered Voters
FL,SurveyUSA,679,8/1/08,8/4/08,44,50,4.2,1.8,Live Phone,Registered Voters
FL,Rasmussen,500,8/16/08,8/19/08,43,46,7.7,3.3,Live Phone,Registered Voters
FL,American Research Group,600,8/17/08,8/20/08,46,47,4.9,2.1,Live Phone,Registered Voters
FL,Zogby,894,8/19/08,8/22/08,40,43,11.9,5.1,Live Phone,Registered Voters
FL,Quinnipiac,1069,8/23/08,8/26/08,43,47,7,3,Live Phone,Registered Voters
FL,Strategic Vision,1200,8/24/08,8/27/08,42,49,6.3,2.7,Live Phone,Registered Voters
FL,FOX/Rasmussen,500,9/5/08,9/8/08,48,48,2.8,1.2,Live Phone,Registered Voters
FL,Public Policy,986,9/6/08,9/9/08,45,50,3.5,1.5,Live Phone,Registered Voters
FL,Quinnipiac,1032,9/8/08,9/11/08,43,50,4.9,2.1,Live Phone,Registered Voters
FL,FOX/Rasmussen,500,9/12/08,9/15/08,44,49,4.9,2.1,Live Phone,Registered Voters
FL,CNN/Time,907,9/14/08,9/17/08,48,48,2.8,1.2,Live Phone,Registered Voters
FL,American Research Group,600,9/15/08,9/18/08,46,46,5.6,2.4,Live Phone,Registered Voters
FL,SurveyUSA,707,9/15/08,9/18/08,45,51,2.8,1.2,Live Phone,Registered Voters
FL,Research 2000,600,9/18/08,9/21/08,45,46,6.3,2.7,Live Phone,Registered Voters
FL,FOX/Rasmussen,500,9/19/08,9/22/08,46,51,2.1,0.9,Live Phone,Registered Voters
FL,Strategic Vision,1200,9/21/08,9/24/08,45,48,4.9,2.1,Live Phone,Registered Voters
FL,American Research Group,600,9/23/08,9/26/08,47,46,4.9,2.1,Live Phone,Registered Voters
FL,Rasmussen,700,9/23/08,9/26/08,47,48,3.5,1.5,Live Phone,Registered Voters
FL,FOX/Rasmussen,500,9/26/08,9/29/08,47,47,4.2,1.8,Live Phone,Registered Voters
FL,SurveyUSA,599,9/26/08,9/29/08,47,48,3.5,1.5,Live Phone,Registered Voters
FL,Public Policy,941,9/27/08,9/30/08,49,46,3.5,1.5,Live Phone,Registered Voters
FL,CNN/Time,770,9/28/08,10/1/08,51,47,1.4,0.6,Live Phone,Registered Voters
FL,Quinnipiac,836,9/28/08,10/1/08,51,43,4.2,1.8,Live Phone,Registered Voters
FL,FOX/Rasmussen,1000,10/2/08,10/5/08,52,45,2.1,0.9,Live Phone,Registered Voters
FL,Mason-Dixon,625,10/5/08,10/8/08,48,46,4.2,1.8,Live Phone,Registered Voters
FL,Rasmussen,700,10/6/08,10/9/08,50,47,2.1,0.9,Live Phone,Registered Voters
FL,Research 2000,600,10/7/08,10/10/08,49,44,4.9,2.1,Live Phone,Registered Voters
FL,Strategic Vision,1200,10/7/08,10/10/08,52,44,2.8,1.2,Live Phone,Registered Voters
FL,FOX/Rasmussen,1000,10/9/08,10/12/08,51,46,2.1,0.9,Live Phone,Registered Voters
FL,CNN/Time,765,10/12/08,10/15/08,51,46,2.1,0.9,Live Phone,Registered Voters
FL,Research 2000,600,10/12/08,10/15/08,49,45,4.2,1.8,Live Phone,Registered Voters
FL,SurveyUSA,553,10/14/08,10/17/08,47,49,2.8,1.2,Live Phone,Registered Voters
FL,FOX/Rasmussen,1000,10/16/08,10/19/08,48,49,2.1,0.9,Live Phone,Registered Voters
FL,Public Policy,1158,10/18/08,10/21/08,48,47,3.5,1.5,Live Phone,Registered Voters
FL,Mason-Dixon,625,10/19/08,10/22/08,45,46,6.3,2.7,Live Phone,Registered Voters
FL,Quinnipiac,1433,10/20/08,10/23/08,49,44,4.9,2.1,Live Phone,Registered Voters
FL,Strategic Vision,1200,10/21/08,10/24/08,46,48,4.2,1.8,Live Phone,Registered Voters
FL,FOX/Rasmussen,1000,10/23/08,10/26/08,51,47,1.4,0.6,Live Phone,Registered Voters
FL,Reuters/Zogby,603,10/24/08,10/27/08,47,47,4.2,1.8,Live Phone,Registered Voters
FL,Suffolk Univ.,600,10/25/08,10/28/08,49,44,4.9,2.1,Live Phone,Registered Voters
FL,AP-GfK Battleground,788,10/26/08,10/29/08,45,43,8.4,3.6,Live Phone,Registered Voters
FL,CNN/Time,747,10/26/08,10/29/08,51,47,1.4,0.6,Live Phone,Registered Voters
FL,LA Times/Bloomberg,809,10/26/08,10/29/08,50,43,4.9,2.1,Live Phone,Registered Voters
FL,Quinnipiac,1435,10/26/08,10/29/08,47,45,5.6,2.4,Live Phone,Registered Voters
FL,American Research Group,600,10/29/08,11/1/08,50,46,2.8,1.2,Live Phone,Registered Voters
FL,Mason-Dixon,625,10/29/08,11/1/08,47,45,5.6,2.4,Live Phone,Registered Voters
FL,FOX/Rasmussen,1000,10/30/08,11/2/08,49,50,0.7,0.3,Live Phone,Registered Voters
FL,Public Policy,1717,10/31/08,11/3/08,50,48,1.4,0.6,Live Phone,Registered Voters
FL,Quinnipiac,1773,10/31/08,11/3/08,47,45,5.6,2.4,Live Phone,Registered Voters
FL,Reuters/Zogby,603,10/31/08,11/3/08,48,46,4.2,1.8,Live Phone,Registered Voters
FL,Strategic Vision,1200,10/31/08,11/3/08,49,47,2.8,1.2,Live Phone,Registered Voters
FL,SurveyUSA,691,10/31/08,11/3/08,50,47,2.1,0.9,Live Phone,Registered Voters
GA,SurveyUSA,600,3/3/08,3/6/08,41,54,3.5,1.5,Live Phone,Registered Voters
GA,Rasmussen,500,5/5/08,5/8/08,39,53,5.6,2.4,Live Phone,Registered Voters
GA,Rasmussen,500,6/7/08,6/10/08,41,51,5.6,2.4,Live Phone,Registered Voters
GA,Rasmussen,500,6/27/08,6/30/08,43,53,2.8,1.2,Live Phone,Registered Voters
GA,Strategic Vision,800,6/29/08,7/2/08,43,51,4.2,1.8,Live Phone,Registered Voters
GA,Rasmussen,500,7/18/08,7/21/08,39,48,9.1,3.9,Live Phone,Registered Voters
GA,Rasmussen,500,8/15/08,8/18/08,43,50,4.9,2.1,Live Phone,Registered Voters
GA,Strategic Vision,800,9/9/08,9/12/08,39,52,6.3,2.7,Live Phone,Registered Voters
GA,SurveyUSA,684,9/14/08,9/17/08,41,57,1.4,0.6,Live Phone,Registered Voters
GA,American Research,600,9/19/08,9/22/08,39,57,2.8,1.2,Live Phone,Registered Voters
GA,SurveyUSA,677,9/27/08,9/30/08,44,52,2.8,1.2,Live Phone,Registered Voters
GA,Rasmussen,500,10/5/08,10/8/08,45,54,0.7,0.3,Live Phone,Registered Voters
GA,Strategic Vision,800,10/6/08,10/9/08,43,50,4.9,2.1,Live Phone,Registered Voters
GA,SurveyUSA,547,10/10/08,10/13/08,43,51,4.2,1.8,Live Phone,Registered Voters
GA,CNN/Time,718,10/12/08,10/15/08,45,53,1.4,0.6,Live Phone,Registered Voters
GA,Rasmussen,500,10/20/08,10/23/08,46,51,2.1,0.9,Live Phone,Registered Voters
GA,Strategic Vision,800,10/20/08,10/23/08,45,51,2.8,1.2,Live Phone,Registered Voters
GA,Mason-Dixon,625,10/23/08,10/26/08,43,49,5.6,2.4,Live Phone,Registered Voters
GA,CNN/Time,690,10/26/08,10/29/08,47,52,0.7,0.3,Live Phone,Registered Voters
GA,Rasmussen,500,10/28/08,10/31/08,47,52,0.7,0.3,Live Phone,Registered Voters
GA,Public Policy,1258,10/31/08,11/3/08,48,50,1.4,0.6,Live Phone,Registered Voters
GA,Strategic Vision,800,10/31/08,11/3/08,46,50,2.8,1.2,Live Phone,Registered Voters
GA,SurveyUSA,683,10/31/08,11/3/08,45,52,2.1,0.9,Live Phone,Registered Voters
HI,SurveyUSA,600,3/3/08,3/6/08,61,31,5.6,2.4,Live Phone,Registered Voters
HI,American Research,600,9/14/08,9/17/08,63,32,3.5,1.5,Live Phone,Registered Voters
HI,Rasmussen,500,9/21/08,9/24/08,68,27,3.5,1.5,Live Phone,Registered Voters
IA,SurveyUSA,563,2/16/08,2/19/08,51,41,5.6,2.4,Live Phone,Registered Voters
IA,SurveyUSA,517,3/17/08,3/20/08,50,44,4.2,1.8,Live Phone,Registered Voters
IA,Rasmussen,500,3/30/08,4/2/08,46,42,8.4,3.6,Live Phone,Registered Voters
IA,SurveyUSA,553,4/14/08,4/17/08,49,42,6.3,2.7,Live Phone,Registered Voters
IA,Rasmussen,500,5/12/08,5/15/08,44,42,9.8,4.2,Live Phone,Registered Voters
IA,Rasmussen,500,6/9/08,6/12/08,45,38,11.9,5.1,Live Phone,Registered Voters
IA,SurveyUSA,528,6/17/08,6/20/08,49,45,4.2,1.8,Live Phone,Registered Voters
IA,Rasmussen,500,7/7/08,7/10/08,48,38,9.8,4.2,Live Phone,Registered Voters
IA,Rasmussen,500,8/8/08,8/11/08,46,41,9.1,3.9,Live Phone,Registered Voters
IA,Univ. of Iowa,617,8/16/08,8/19/08,50,43,4.9,2.1,Live Phone,Registered Voters
IA,Selzer & Co.,616,9/11/08,9/14/08,52,40,5.6,2.4,Live Phone,Registered Voters
IA,Big Ten Battleground,600,9/15/08,9/18/08,45,45,7,3,Live Phone,Registered Voters
IA,SurveyUSA,702,9/16/08,9/19/08,54,43,2.1,0.9,Live Phone,Registered Voters
IA,American Research,600,9/18/08,9/21/08,51,44,3.5,1.5,Live Phone,Registered Voters
IA,Rasmussen,500,9/24/08,9/27/08,51,43,4.2,1.8,Live Phone,Registered Voters
IA,Research 2000,600,9/29/08,10/2/08,55,39,4.2,1.8,Live Phone,Registered Voters
IA,SurveyUSA,682,10/7/08,10/10/08,54,41,3.5,1.5,Live Phone,Registered Voters
IA,Big Ten Battleground,586,10/20/08,10/23/08,52,39,6.3,2.7,Live Phone,Registered Voters
IA,Rasmussen,700,10/21/08,10/24/08,52,44,2.8,1.2,Live Phone,Registered Voters
IA,Research 2000,600,10/23/08,10/26/08,54,39,4.9,2.1,Live Phone,Registered Voters
IA,Marist,645,10/24/08,10/27/08,52,42,4.2,1.8,Live Phone,Registered Voters
IA,SurveyUSA,658,10/27/08,10/30/08,55,40,3.5,1.5,Live Phone,Registered Voters
IA,Research 2000,600,10/28/08,10/31/08,53,39,5.6,2.4,Live Phone,Registered Voters
IA,Selzer & Co.,814,10/29/08,11/1/08,54,37,6.3,2.7,Live Phone,Registered Voters
ID,SurveyUSA,600,3/3/08,3/6/08,39,52,6.3,2.7,Live Phone,Registered Voters
ID,Rasmussen,500,9/8/08,9/11/08,29,68,2.1,0.9,Live Phone,Registered Voters
ID,American Research,600,9/14/08,9/17/08,25,68,4.9,2.1,Live Phone,Registered Voters
IL,SurveyUSA,600,3/3/08,3/6/08,60,31,6.3,2.7,Live Phone,Registered Voters
IL,Rasmussen,500,7/7/08,7/10/08,50,37,9.1,3.9,Live Phone,Registered Voters
IL,Rasmussen,500,8/15/08,8/18/08,53,38,6.3,2.7,Live Phone,Registered Voters
IL,American Research,600,9/14/08,9/17/08,51,45,2.8,1.2,Live Phone,Registered Voters
IL,Big Ten Battleground,600,9/15/08,9/18/08,53,37,7,3,Live Phone,Registered Voters
IL,Rasmussen,500,9/17/08,9/20/08,56,40,2.8,1.2,Live Phone,Registered Voters
IL,Research 2000,800,9/18/08,9/21/08,56,36,5.6,2.4,Live Phone,Registered Voters
IL,Rasmussen,500,10/12/08,10/15/08,56,39,3.5,1.5,Live Phone,Registered Voters
IL,Chicago Tribune,500,10/18/08,10/21/08,56,32,8.4,3.6,Live Phone,Registered Voters
IL,Big Ten Battleground,572,10/20/08,10/23/08,61,32,4.9,2.1,Live Phone,Registered Voters
IL,Research 2000,800,10/23/08,10/26/08,59,35,4.2,1.8,Live Phone,Registered Voters
IL,Rasmussen,500,10/30/08,11/2/08,60,38,1.4,0.6,Live Phone,Registered Voters
IN,SurveyUSA,499,2/2/08,2/5/08,40,50,7,3,Live Phone,Registered Voters
IN,SurveyUSA,627,6/21/08,6/24/08,47.7,47.3,3.5,1.5,Live Phone,Registered Voters
IN,SurveyUSA,645,8/17/08,8/20/08,44,50,4.2,1.8,Live Phone,Registered Voters
IN,Rasmussen,500,8/19/08,8/22/08,42,46,8.4,3.6,Live Phone,Registered Voters
IN,Howey-Gauge,500,8/27/08,8/30/08,43,45,8.4,3.6,Live Phone,Registered Voters
IN,CNN/Time,890,9/14/08,9/17/08,45,51,2.8,1.2,Live Phone,Registered Voters
IN,Big Ten Battleground,600,9/15/08,9/18/08,43,47,7,3,Live Phone,Registered Voters
IN,Selzer,600,9/15/08,9/18/08,47,44,6.3,2.7,Live Phone,Registered Voters
IN,American Research,600,9/16/08,9/19/08,44,47,6.3,2.7,Live Phone,Registered Voters
IN,Rasmussen,500,9/16/08,9/19/08,47,49,2.8,1.2,Live Phone,Registered Voters
IN,SurveyUSA,687,9/27/08,9/30/08,45,48,4.9,2.1,Live Phone,Registered Voters
IN,Research 2000,600,9/29/08,10/2/08,45,46,6.3,2.7,Live Phone,Registered Voters
IN,CNN/Time,677,10/4/08,10/7/08,46,51,2.1,0.9,Live Phone,Registered Voters
IN,Research 2000,800,10/4/08,10/7/08,46,46,5.6,2.4,Live Phone,Registered Voters
IN,Rasmussen,500,10/6/08,10/9/08,43,50,4.9,2.1,Live Phone,Registered Voters
IN,Public Policy,1411,10/18/08,10/21/08,48,46,4.2,1.8,Live Phone,Registered Voters
IN,Big Ten Battleground,586,10/20/08,10/23/08,51,41,5.6,2.4,Live Phone,Registered Voters
IN,SurveyUSA,631,10/20/08,10/23/08,49,45,4.2,1.8,Live Phone,Registered Voters
IN,Reuters/Zogby,601,10/24/08,10/27/08,44,50,4.2,1.8,Live Phone,Registered Voters
IN,Research 2000,600,10/25/08,10/28/08,48,47,3.5,1.5,Live Phone,Registered Voters
IN,Selzer & Co.,606,10/26/08,10/29/08,45.9,45.3,6.16,2.64,Live Phone,Registered Voters
IN,Rasmussen,500,10/27/08,10/30/08,46,49,3.5,1.5,Live Phone,Registered Voters
IN,American Research Group,600,10/29/08,11/1/08,48,48,2.8,1.2,Live Phone,Registered Voters
IN,Public Policy,2634,10/31/08,11/3/08,49,48,2.1,0.9,Live Phone,Registered Voters
IN,Reuters/Zogby,603,10/31/08,11/3/08,44,49,4.9,2.1,Live Phone,Registered Voters
KS,SurveyUSA,512,1/15/08,1/18/08,39,53,5.6,2.4,Live Phone,Registered Voters
